Node1,Node2,Jaccard
HINDALCO,ICICIBANK,0.0
HINDALCO,PFC,0.03571428571428571
HINDALCO,SBILIFE,0.0
HINDALCO,HINDUNILVR,0.0
HINDALCO,BAJFINANCE,0.0
HINDALCO,ULTRACEMCO,0.125
HINDALCO,LODHA,0.0
HINDALCO,CHOLAFIN,0.0
HINDALCO,CANBK,0.03333333333333333
HINDALCO,DLF,0.08
HINDALCO,KOTAKBANK,0.0
HINDALCO,M&M,0.0
HINDALCO,HDFCLIFE,0.0
HINDALCO,ONGC,0.04
HINDALCO,SHRIRAMFIN,0.0
HINDALCO,HAVELLS,0.0
HINDALCO,ASIANPAINT,0.0
HINDALCO,PNB,0.07407407407407407
HINDALCO,SUNPHARMA,0.0
HINDALCO,BAJAJHLDNG,0.0
HINDALCO,ADANIGREEN,0.0
HINDALCO,NAUKRI,0.0
HINDALCO,MARUTI,0.0
HINDALCO,ETERNAL,0.0
HINDALCO,TECHM,0.0
HINDALCO,BOSCHLTD,0.0
HINDALCO,SOLARINDS,0.0
HINDALCO,POWERGRID,0.045454545454545456
HINDALCO,GAIL,0.14285714285714285
HINDALCO,INDIGO,0.0
HINDALCO,ADANIENSOL,0.0
HINDALCO,ADANIPORTS,0.03225806451612903
HINDALCO,PIDILITIND,0.0
HINDALCO,BAJAJFINSV,0.0
HINDALCO,BHARTIARTL,0.0
HINDALCO,BEL,0.10344827586206896
HINDALCO,NTPC,0.11538461538461539
HINDALCO,HDFCBANK,0.0
HINDALCO,MAXHEALTH,0.0
HINDALCO,AXISBANK,0.0
HINDALCO,TVSMOTOR,0.0
HINDALCO,DMART,0.0
HINDALCO,CGPOWER,0.0
HINDALCO,INDHOTEL,0.0
HINDALCO,GODREJCP,0.0
HINDALCO,JSWENERGY,0.0
HINDALCO,BPCL,0.0
HINDALCO,ICICIGI,0.0
HINDALCO,RECLTD,0.03571428571428571
HINDALCO,APOLLOHOSP,0.0
HINDALCO,DIVISLAB,0.0
HINDALCO,COALINDIA,0.07692307692307693
HINDALCO,HAL,0.07692307692307693
HINDALCO,VBL,0.0
HINDALCO,DRREDDY,0.0
HINDALCO,JIOFIN,0.0
HINDALCO,TRENT,0.0
HINDALCO,CIPLA,0.0
HINDALCO,RELIANCE,0.0
HINDALCO,SHREECEM,0.0
HINDALCO,TCS,0.0
HINDALCO,LICI,0.0
HINDALCO,AMBUJACEM,0.06451612903225806
HINDALCO,SBIN,0.03333333333333333
HINDALCO,LTIM,0.0
HINDALCO,BANKBARODA,0.03571428571428571
HINDALCO,TATAPOWER,0.125
HINDALCO,TORNTPHARM,0.0
HINDALCO,HINDZINC,0.0
HINDALCO,TATACONSUM,0.0
HINDALCO,WIPRO,0.0
HINDALCO,BAJAJ-AUTO,0.0
HINDALCO,ADANIPOWER,0.0
HINDALCO,ABB,0.0
HINDALCO,EICHERMOT,0.0
HINDALCO,INFY,0.0
HINDALCO,LT,0.08695652173913043
HINDALCO,SIEMENS,0.0
HINDALCO,ITC,0.0
HINDALCO,IOC,0.045454545454545456
HINDALCO,HCLTECH,0.0
HINDALCO,MOTHERSON,0.0
HINDALCO,BRITANNIA,0.0
HINDALCO,ADANIENT,0.03571428571428571
HINDALCO,NESTLEIND,0.0
HINDALCO,TITAN,0.0
HINDALCO,ZYDUSLIFE,0.0
HINDALCO,GRASIM,0.2
HINDALCO,IRFC,0.0
HINDALCO,MAZDOCK,0.0
ICICIBANK,PFC,0.038461538461538464
ICICIBANK,SBILIFE,0.0
ICICIBANK,HINDUNILVR,0.0
ICICIBANK,BAJFINANCE,0.0
ICICIBANK,ULTRACEMCO,0.0
ICICIBANK,LODHA,0.0
ICICIBANK,CHOLAFIN,0.0
ICICIBANK,CANBK,0.03571428571428571
ICICIBANK,DLF,0.041666666666666664
ICICIBANK,KOTAKBANK,0.0
ICICIBANK,M&M,0.0
ICICIBANK,HDFCLIFE,0.0
ICICIBANK,ONGC,0.043478260869565216
ICICIBANK,SHRIRAMFIN,0.1
ICICIBANK,JINDALSTEL,0.0
ICICIBANK,HAVELLS,0.0
ICICIBANK,ASIANPAINT,0.0
ICICIBANK,PNB,0.038461538461538464
ICICIBANK,SUNPHARMA,0.0
ICICIBANK,BAJAJHLDNG,0.0
ICICIBANK,ADANIGREEN,0.0
ICICIBANK,NAUKRI,0.0
ICICIBANK,MARUTI,0.0
ICICIBANK,ETERNAL,0.0
ICICIBANK,VEDL,0.0
ICICIBANK,TECHM,0.0
ICICIBANK,BOSCHLTD,0.0
ICICIBANK,SOLARINDS,0.0
ICICIBANK,POWERGRID,0.05
ICICIBANK,GAIL,0.034482758620689655
ICICIBANK,INDIGO,0.0
ICICIBANK,ADANIENSOL,0.0
ICICIBANK,ADANIPORTS,0.034482758620689655
ICICIBANK,PIDILITIND,0.0
ICICIBANK,BAJAJFINSV,0.0
ICICIBANK,BHARTIARTL,0.0
ICICIBANK,BEL,0.034482758620689655
ICICIBANK,NTPC,0.038461538461538464
ICICIBANK,HDFCBANK,0.0
ICICIBANK,MAXHEALTH,0.0
ICICIBANK,TVSMOTOR,0.0
ICICIBANK,DMART,0.0
ICICIBANK,CGPOWER,0.0
ICICIBANK,INDHOTEL,0.0
ICICIBANK,GODREJCP,0.0
ICICIBANK,JSWENERGY,0.0
ICICIBANK,BPCL,0.058823529411764705
ICICIBANK,ICICIGI,0.0
ICICIBANK,TATASTEEL,0.04
ICICIBANK,RECLTD,0.038461538461538464
ICICIBANK,APOLLOHOSP,0.0
ICICIBANK,DIVISLAB,0.0
ICICIBANK,COALINDIA,0.04
ICICIBANK,HAL,0.04
ICICIBANK,VBL,0.0
ICICIBANK,DRREDDY,0.0
ICICIBANK,JIOFIN,0.0
ICICIBANK,TRENT,0.0
ICICIBANK,CIPLA,0.0
ICICIBANK,RELIANCE,0.07692307692307693
ICICIBANK,SHREECEM,0.0
ICICIBANK,TCS,0.0
ICICIBANK,LICI,0.07692307692307693
ICICIBANK,AMBUJACEM,0.03333333333333333
ICICIBANK,LTIM,0.0
ICICIBANK,BANKBARODA,0.038461538461538464
ICICIBANK,TATAPOWER,0.041666666666666664
ICICIBANK,TORNTPHARM,0.0
ICICIBANK,HINDZINC,0.0
ICICIBANK,TATACONSUM,0.0
ICICIBANK,WIPRO,0.0
ICICIBANK,BAJAJ-AUTO,0.0
ICICIBANK,ADANIPOWER,0.08333333333333333
ICICIBANK,ABB,0.0
ICICIBANK,EICHERMOT,0.0
ICICIBANK,INFY,0.0
ICICIBANK,LT,0.045454545454545456
ICICIBANK,SIEMENS,0.0
ICICIBANK,ITC,0.0
ICICIBANK,IOC,0.05
ICICIBANK,HCLTECH,0.0
ICICIBANK,MOTHERSON,0.0
ICICIBANK,JSWSTEEL,0.0
ICICIBANK,BRITANNIA,0.0
ICICIBANK,ADANIENT,0.038461538461538464
ICICIBANK,NESTLEIND,0.0
ICICIBANK,TITAN,0.0
ICICIBANK,ZYDUSLIFE,0.0
ICICIBANK,GRASIM,0.0
ICICIBANK,IRFC,0.0
ICICIBANK,MAZDOCK,0.0
PFC,APOLLOHOSP,0.0
PFC,DIVISLAB,0.0
PFC,SBILIFE,0.0
PFC,HINDUNILVR,0.0
PFC,BAJFINANCE,0.0
PFC,VBL,0.0
PFC,DRREDDY,0.0
PFC,ULTRACEMCO,0.07142857142857142
PFC,JIOFIN,0.0
PFC,LODHA,0.04
PFC,CHOLAFIN,0.04
PFC,TRENT,0.0
PFC,KOTAKBANK,0.0
PFC,M&M,0.0
PFC,CIPLA,0.0
PFC,HDFCLIFE,0.0
PFC,RELIANCE,0.4230769230769231
PFC,SHREECEM,0.0
PFC,JINDALSTEL,0.32142857142857145
PFC,TCS,0.0
PFC,HAVELLS,0.0
PFC,LTIM,0.0
PFC,ASIANPAINT,0.0
PFC,SUNPHARMA,0.0
PFC,TORNTPHARM,0.0
PFC,BAJAJHLDNG,0.0
PFC,ADANIGREEN,0.14814814814814814
PFC,NAUKRI,0.0
PFC,MARUTI,0.0
PFC,HINDZINC,0.0
PFC,ETERNAL,0.0
