Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-03 00:00:00+05:30,377.0062169057113,377.06594296326335,361.57635752885443,369.63970947265625,5828730,0.0,0.0
2023-10-04 00:00:00+05:30,369.5003405088623,369.5003405088623,361.9546546562543,366.513916015625,6181990,0.0,0.0
2023-10-05 00:00:00+05:30,367.70848433258476,369.8387845947869,366.3347242559083,366.7727355957031,4795682,0.0,0.0
2023-10-06 00:00:00+05:30,367.23067317516296,371.1130190891801,367.170947113369,369.1419982910156,3597420,0.0,0.0
2023-10-09 00:00:00+05:30,365.5383747561203,371.11300957721994,362.7908544660916,369.8985290527344,2146690,0.0,0.0
2023-10-10 00:00:00+05:30,370.3564598342601,370.71481618662744,367.1311007655512,369.5003356933594,3481552,0.0,0.0
2023-10-11 00:00:00+05:30,375.4930847629423,378.678585709051,363.9455716820378,365.3989562988281,6850962,0.0,0.0
2023-10-12 00:00:00+05:30,367.33024552013376,370.296771718672,362.372769481378,368.2062683105469,4372975,0.0,0.0
2023-10-13 00:00:00+05:30,362.751015655608,371.11299800601444,362.751015655608,370.1175231933594,3364592,0.0,0.0
2023-10-16 00:00:00+05:30,370.07774791788887,370.11754503951823,365.4587299323817,367.38995361328125,4550210,0.0,0.0
2023-10-17 00:00:00+05:30,369.5203110409667,371.8696173245967,365.53841126845407,370.35650634765625,4602577,0.0,0.0
2023-10-18 00:00:00+05:30,368.9229978306926,368.9229978306926,364.3438072915688,368.465087890625,6472717,0.0,0.0
2023-10-19 00:00:00+05:30,365.5383782025703,375.8913105987004,362.37274508137165,372.1483154296875,6049895,0.0,0.0
2023-10-20 00:00:00+05:30,371.5509869738414,371.5509869738414,365.29940674210616,368.8034973144531,4265650,0.0,0.0
2023-10-23 00:00:00+05:30,365.1401383062323,369.2614184906077,364.7419544688697,367.42974853515625,3243855,0.0,0.0
2023-10-25 00:00:00+05:30,366.7329194475095,367.1311033016062,348.91392615622607,352.07952880859375,9110125,0.0,0.0
2023-10-26 00:00:00+05:30,350.327516308064,350.40714092766683,329.76100262966946,347.40081787109375,11486027,0.0,0.0
2023-10-27 00:00:00+05:30,350.36732211468075,368.72388090556336,349.2125676351837,366.912109375,6026657,0.0,0.0
2023-10-30 00:00:00+05:30,366.89222432146556,370.7148442670037,362.651491553681,364.9211730957031,4445290,0.0,0.0
2023-10-31 00:00:00+05:30,366.49404870984097,367.8877075163052,359.68500393012954,361.8750305175781,5579412,0.0,0.0
2023-11-01 00:00:00+05:30,363.4678113385419,369.3610364493244,362.83072316357027,365.637939453125,4244585,0.0,0.0
2023-11-02 00:00:00+05:30,368.3256899344464,373.30306412274973,366.3546388192651,368.7835998535156,2675412,0.0,0.0
2023-11-03 00:00:00+05:30,372.2279743624379,380.62975426205685,368.78360946117203,379.01708984375,4721982,0.0,0.0
2023-11-06 00:00:00+05:30,381.78451708250134,384.53203748742754,373.3429094978303,376.54833984375,8992325,0.0,0.0
2023-11-07 00:00:00+05:30,378.24061847416834,397.5926521407081,377.24514361634004,394.6858825683594,12289935,0.0,0.0
2023-11-08 00:00:00+05:30,401.5745776689293,407.74653434035076,397.03521445259383,401.7139587402344,6577727,0.0,0.0
2023-11-09 00:00:00+05:30,404.16276716864945,404.16276716864945,396.87588437098685,399.2052917480469,3141805,0.0,0.0
2023-11-10 00:00:00+05:30,399.70307571056554,403.8641839309345,395.68137893950535,401.7935791015625,3047152,0.0,0.0
2023-11-13 00:00:00+05:30,402.96820793901435,404.6605273392121,399.125689592434,401.6741027832031,3249237,0.0,0.0
2023-11-15 00:00:00+05:30,403.36642978615095,405.75556340009274,397.3935805615553,403.84423828125,5883120,0.0,0.0
2023-11-16 00:00:00+05:30,404.7600919300475,418.4976331102449,404.40170517623,415.9293212890625,7685665,0.0,0.0
2023-11-17 00:00:00+05:30,415.9293138595861,417.0243422829655,406.7709329833898,415.4913024902344,4609025,0.0,0.0
2023-11-20 00:00:00+05:30,414.9138892918887,422.220701142426,409.33925465093216,417.0442199707031,2630890,0.0,0.0
2023-11-21 00:00:00+05:30,420.07052042402887,421.00626928530414,407.2487985099016,413.2415466308594,5115550,0.0,0.0
2023-11-22 00:00:00+05:30,414.25690265327233,414.51570544622416,404.66051088794876,410.6731872558594,3425477,0.0,0.0
2023-11-23 00:00:00+05:30,412.18632843635896,428.0542005329869,408.14470283377824,419.9311218261719,6097717,0.0,0.0
2023-11-24 00:00:00+05:30,422.081341350596,427.13834028093777,421.006241866958,425.32659912109375,3789175,0.0,0.0
2023-11-28 00:00:00+05:30,428.05421041149066,428.05421041149066,419.65239975817155,422.06146240234375,3908002,0.0,0.0
2023-11-29 00:00:00+05:30,426.0632414495368,427.8949115522867,419.9112140860374,422.4197998046875,1836362,0.0,0.0
2023-11-30 00:00:00+05:30,424.4704643974494,449.835174179421,421.8424266252448,439.9998779296875,12976745,0.0,0.0
2023-12-01 00:00:00+05:30,441.99082665213996,448.3618595189773,432.29491148260126,433.64874267578125,3427552,0.0,0.0
2023-12-04 00:00:00+05:30,442.3890355917382,442.98632660237956,424.0723036687948,426.242431640625,4750715,0.0,0.0
2023-12-05 00:00:00+05:30,430.0252209556676,431.97634308425114,420.28947849293036,422.8179626464844,2822605,0.0,0.0
2023-12-06 00:00:00+05:30,422.0813197988663,429.208923090064,420.5881075825967,427.476806640625,2751995,0.0,0.0
2023-12-07 00:00:00+05:30,430.04510679523344,430.84147447084024,425.0279053763681,428.85052490234375,1896300,0.0,0.0
2023-12-08 00:00:00+05:30,429.36821920397165,431.1003357199679,422.08133601749967,424.8487548828125,3151082,0.0,0.0
2023-12-11 00:00:00+05:30,427.6161245332651,441.59259831228474,426.4613701956759,439.7012023925781,5401315,0.0,0.0
2023-12-12 00:00:00+05:30,439.70125159462424,441.19446386350415,428.4523676080402,430.0849609375,3949642,0.0,0.0
2023-12-13 00:00:00+05:30,432.7329367083052,436.0179916166378,427.1383424386602,435.1220703125,2889550,0.0,0.0
2023-12-14 00:00:00+05:30,439.60171082619996,443.78268707303795,435.73926345091945,439.68133544921875,3080182,0.0,0.0
2023-12-15 00:00:00+05:30,441.5129926740549,445.8931062991744,436.01798246183415,437.6107482910156,2900972,0.0,0.0
2023-12-18 00:00:00+05:30,437.61075707927637,455.5293046635822,435.63970590838926,450.7510070800781,4576600,0.0,0.0
2023-12-19 00:00:00+05:30,455.21073698188735,469.0677602239973,452.1645863793491,466.53924560546875,6633475,0.0,0.0
2023-12-20 00:00:00+05:30,535.565460012208,549.5021076705183,492.02340054974974,499.09124755859375,32725090,0.0,0.0
2023-12-21 00:00:00+05:30,495.76636350292506,517.646911185414,470.6405885352823,514.1826782226562,11949305,0.0,0.0
