Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-03 00:00:00+05:30,409.55999947979717,413.98365723998364,403.5955334679555,410.5540771484375,3333713,0.0,0.0
2023-10-04 00:00:00+05:30,409.3114890746992,413.5363192594411,399.22160658321377,404.14227294921875,2906086,0.0,0.0
2023-10-05 00:00:00+05:30,408.66534415827675,416.8167630088231,405.48428341762616,415.0274353027344,3093788,0.0,0.0
2023-10-06 00:00:00+05:30,417.01557983829684,422.23448757167245,415.7729827589217,420.4451599121094,2577983,0.0,0.0
2023-10-09 00:00:00+05:30,417.51265653203967,418.20852309433127,410.8523234478618,413.039306640625,2768044,0.0,0.0
2023-10-10 00:00:00+05:30,415.92209392898843,416.7670660216843,412.9895829843705,413.8842468261719,1022044,0.0,0.0
2023-10-11 00:00:00+05:30,414.9777354506153,420.39544054967496,411.84636652083424,412.39312744140625,2537529,0.0,0.0
2023-10-12 00:00:00+05:30,415.5244722400679,417.3137999379433,411.100814408038,414.0333557128906,2455507,0.0,0.0
2023-10-13 00:00:00+05:30,411.5481734043004,414.87833981201805,408.76476794113466,412.2937316894531,2715674,0.0,0.0
2023-10-16 00:00:00+05:30,411.54818620716827,418.00969154616973,409.3115112821293,414.2322082519531,2135138,0.0,0.0
2023-10-17 00:00:00+05:30,414.5304135157201,420.94222701059323,414.0333746505933,417.612060546875,2207161,0.0,0.0
2023-10-18 00:00:00+05:30,417.31382083236224,419.3019763014766,409.1624016111004,410.4049987792969,2577691,0.0,0.0
2023-10-19 00:00:00+05:30,409.2618205725094,413.53634274984904,405.1363736530046,411.5481872558594,2055651,0.0,0.0
2023-10-20 00:00:00+05:30,410.55407078630975,410.55407078630975,401.2097469132634,402.5517578125,3027378,0.0,0.0
2023-10-23 00:00:00+05:30,403.5955591817049,405.5837146456542,390.9210680990282,393.50567626953125,4580694,0.0,0.0
2023-10-25 00:00:00+05:30,394.74828627977246,395.891469641374,385.30454751871014,387.24298095703125,5099593,0.0,0.0
2023-10-26 00:00:00+05:30,382.9684153437633,385.3045038927874,369.44895321234503,372.5802917480469,6679568,0.0,0.0
2023-10-27 00:00:00+05:30,375.76136727879987,382.57080553098285,369.3992761224006,372.331787109375,8113269,0.0,0.0
2023-10-30 00:00:00+05:30,375.56254483413613,382.4217052684743,370.443050720484,379.83709716796875,5308844,0.0,0.0
2023-10-31 00:00:00+05:30,382.5708193703906,383.61458884918574,377.84895016631276,381.12939453125,2300685,0.0,0.0
2023-11-01 00:00:00+05:30,381.72585176080776,388.6347041813208,381.72585176080776,386.795654296875,2570151,0.0,0.0
2023-11-02 00:00:00+05:30,389.628756436298,391.3683923656965,385.00627098299327,387.9388122558594,1425611,0.0,0.0
2023-11-03 00:00:00+05:30,390.672564479356,391.26901721005254,386.69625339050765,390.5731506347656,1851600,0.0,0.0
2023-11-06 00:00:00+05:30,391.46779779158373,395.29500311800894,390.92106717502793,393.0086364746094,2330301,0.0,0.0
2023-11-07 00:00:00+05:30,394.2512177710385,400.96124217598,391.865437383317,399.1221923828125,2919260,0.0,0.0
2023-11-08 00:00:00+05:30,401.0606668547234,404.142283506383,396.63700888158206,403.24761962890625,2451875,0.0,0.0
2023-11-09 00:00:00+05:30,403.2476254690715,404.4902226326869,401.16005616682884,403.048828125,2153695,0.0,0.0
2023-11-10 00:00:00+05:30,402.6014581804473,407.671260387866,400.81213050104924,407.0251159667969,1856115,0.0,0.0
2023-11-13 00:00:00+05:30,407.5718426456723,408.8144397269091,403.79435965344953,408.2179870605469,3025750,0.0,0.0
2023-11-15 00:00:00+05:30,409.5600452645271,411.0511619341795,407.1742646604525,408.9635925292969,2258736,0.0,0.0
2023-11-16 00:00:00+05:30,408.7647822249227,412.54226553362497,406.5777990439822,410.2061767578125,1269668,0.0,0.0
2023-11-17 00:00:00+05:30,409.5600205488978,412.9896008168727,407.32334567939535,408.7647705078125,1725808,0.0,0.0
2023-11-20 00:00:00+05:30,413.58602661531273,420.09725393606595,409.8085433835077,417.1150207519531,5008400,0.0,0.0
2023-11-21 00:00:00+05:30,418.6061333633852,419.30196956428784,415.42507252917636,418.3078918457031,2086054,0.0,0.0
2023-11-22 00:00:00+05:30,418.3078785839377,418.7055339282401,410.85229593091947,414.5303955078125,1286423,0.0,0.0
2023-11-23 00:00:00+05:30,414.5304135157201,419.8487354399454,413.23812460112845,417.612060546875,1729291,0.0,0.0
2023-11-24 00:00:00+05:30,416.5185575179056,419.84872389001185,415.02744096354553,418.0096740722656,2440352,0.0,0.0
2023-11-28 00:00:00+05:30,419.50077963298344,422.23449324433585,415.82268009388116,420.246337890625,2402488,0.0,0.0
2023-11-29 00:00:00+05:30,421.29010819047164,423.4770912188273,416.5185474664052,417.56231689453125,1513282,0.0,0.0
2023-11-30 00:00:00+05:30,417.5623232190616,420.64397013774993,415.5244760811523,419.20257568359375,3944054,0.0,0.0
2023-12-01 00:00:00+05:30,419.5007895278328,427.3539972928571,419.20257835247946,423.8747253417969,3587510,0.0,0.0
2023-12-04 00:00:00+05:30,427.45340725243915,433.4675651499744,425.0179047740541,431.4297180175781,3028240,0.0,0.0
