Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-03 00:00:00+05:30,1888.6820821621336,1910.2446176097553,1836.7850276578886,1842.8616943359375,458399,0.0,0.0
2023-10-04 00:00:00+05:30,1842.910548503601,1844.380721215918,1814.3891021702823,1827.0816650390625,187618,0.0,0.0
2023-10-05 00:00:00+05:30,1828.1106822790982,1831.0510276524676,1805.372059248891,1813.801025390625,517609,0.0,0.0
2023-10-06 00:00:00+05:30,1820.7599244759924,1861.238729321584,1819.0447229086872,1856.38720703125,408253,0.0,0.0
2023-10-09 00:00:00+05:30,1842.616558858822,1868.2955290027526,1840.01922967439,1853.0548095703125,169472,0.0,0.0
2023-10-10 00:00:00+05:30,1860.2094692559856,1861.14065041833,1827.9147234732536,1831.10009765625,88144,0.0,0.0
2023-10-11 00:00:00+05:30,1838.1569965709682,1870.5989052745304,1834.8736345928012,1848.0072021484375,267605,0.0,0.0
2023-10-12 00:00:00+05:30,1855.3578714233365,1859.180344215399,1836.0985859134098,1844.0865478515625,162795,0.0,0.0
2023-10-13 00:00:00+05:30,1842.6165986906226,1876.6756023100372,1834.3346730058238,1857.9063720703125,276953,0.0,0.0
2023-10-16 00:00:00+05:30,1857.9063129081085,1900.443335685991,1856.877263753986,1874.3232421875,510628,0.0,0.0
2023-10-17 00:00:00+05:30,1879.125910786618,1897.8460876122417,1864.4732360639343,1883.3404541015625,300335,0.0,0.0
2023-10-18 00:00:00+05:30,1885.839530921668,1900.443270544491,1868.1974582709197,1878.8807373046875,405999,0.0,0.0
2023-10-19 00:00:00+05:30,1882.0661560908648,1884.7124191939417,1859.817589578431,1881.0369873046875,101361,0.0,0.0
2023-10-20 00:00:00+05:30,1873.2941805639316,1901.3254506213234,1844.6258117146288,1853.98583984375,299259,0.0,0.0
2023-10-23 00:00:00+05:30,1860.5526329477918,1872.9509938532376,1830.610067324965,1839.97021484375,224516,0.0,0.0
2023-10-25 00:00:00+05:30,1871.0398413114515,1915.194077147202,1786.308933547173,1884.0263671875,1682093,0.0,0.0
2023-10-26 00:00:00+05:30,1881.6250801488238,1881.6250801488238,1822.5731433868843,1852.0745849609375,433022,0.0,0.0
2023-10-27 00:00:00+05:30,1857.8572642899137,1912.0086246908045,1857.7102230932653,1882.4581298828125,695215,0.0,0.0
2023-10-30 00:00:00+05:30,1891.6712472088486,1912.5966812249515,1880.4488572279088,1891.9652099609375,287857,0.0,0.0
2023-10-31 00:00:00+05:30,1906.127986400611,1906.127986400611,1879.860852594761,1885.986572265625,184243,0.0,0.0
2023-11-01 00:00:00+05:30,1891.426239775959,1902.9425926389736,1875.3032739819619,1881.8701171875,249601,0.0,0.0
2023-11-02 00:00:00+05:30,1888.5349854521487,1906.3241006023018,1883.2913929600631,1889.0740966796875,220680,0.0,0.0
2023-11-03 00:00:00+05:30,1896.9147258479477,1928.768465546397,1894.219409411925,1921.4176025390625,401602,0.0,0.0
2023-11-06 00:00:00+05:30,1939.059878842145,1954.3496515859395,1915.6841559350687,1927.396484375,221392,0.0,0.0
2023-11-07 00:00:00+05:30,1929.6507253125926,1961.2103847969688,1927.151383861589,1958.662109375,295281,0.0,0.0
2023-11-08 00:00:00+05:30,1976.990217873674,2012.764539998308,1962.2884908264111,1987.771484375,439459,0.0,0.0
2023-11-09 00:00:00+05:30,1993.9951809264628,2018.9390631597425,1976.7942321586975,2010.412109375,308733,0.0,0.0
2023-11-10 00:00:00+05:30,2020.2132946619663,2027.7601334423698,2003.600390764979,2017.27294921875,206637,0.0,0.0
2023-11-13 00:00:00+05:30,2015.3126706049525,2034.3270475867585,2008.5009183486688,2024.9178466796875,188309,0.0,0.0
2023-11-15 00:00:00+05:30,2043.295004171993,2043.295004171993,2008.0108597181297,2013.74462890625,179655,0.0,0.0
2023-11-16 00:00:00+05:30,2017.0279194798875,2017.0279194798875,1993.5051559452586,1998.993896484375,342090,0.0,0.0
2023-11-17 00:00:00+05:30,1999.042948500816,2046.4805483587995,1984.390274040971,2040.9429931640625,147474,0.0,0.0
2023-11-20 00:00:00+05:30,2040.94290131262,2076.668051075458,2040.4037901168608,2068.778076171875,318186,0.0,0.0
2023-11-21 00:00:00+05:30,2091.5659704361374,2102.347238324983,2067.602200122211,2077.501220703125,288221,0.0,0.0
2023-11-22 00:00:00+05:30,2074.119940409536,2089.997760338905,2041.9721108610345,2069.5625,164055,0.0,0.0
2023-11-23 00:00:00+05:30,2092.594902922922,2093.4769108452624,2040.599746257401,2064.66162109375,189688,0.0,0.0
2023-11-24 00:00:00+05:30,2067.9449097661804,2086.665205302667,2041.87398971113,2049.224853515625,157910,0.0,0.0
2023-11-28 00:00:00+05:30,2058.0456204920106,2063.338146023592,2031.043403130073,2037.6591796875,306047,0.0,0.0
2023-11-29 00:00:00+05:30,2039.6195615004192,2082.6955730992395,2033.0528380639687,2050.25390625,209338,0.0,0.0
2023-11-30 00:00:00+05:30,2050.254208391152,2097.4466625849323,2036.53259471069,2084.26416015625,529836,0.0,0.0
2023-12-01 00:00:00+05:30,2092.545785517141,2114.549322149353,2076.373886003777,2108.47265625,308776,0.0,0.0
2023-12-04 00:00:00+05:30,2126.8499246958486,2129.3492662433455,2070.297327089924,2091.173828125,272694,0.0,0.0
2023-12-05 00:00:00+05:30,2093.2810621570407,2117.0488560267854,2054.370536132625,2058.241943359375,676468,0.0,0.0
2023-12-06 00:00:00+05:30,2064.9066415381335,2082.744689373465,2033.7389319764422,2038.5904541015625,183439,0.0,0.0
2023-12-07 00:00:00+05:30,2043.931874810936,2066.033517534975,2033.2487162437574,2058.78076171875,145283,0.0,0.0
2023-12-08 00:00:00+05:30,2057.7517827099045,2062.064193708524,2003.5024324194007,2012.617431640625,221098,0.0,0.0
2023-12-11 00:00:00+05:30,2017.8610405692039,2038.6394330877224,1997.1805159903417,2037.0223388671875,254019,0.0,0.0
2023-12-12 00:00:00+05:30,2028.838536143303,2055.3016474843025,1991.594157218933,2007.2760009765625,279183,0.0,0.0
2023-12-13 00:00:00+05:30,2005.4136477461402,2045.0593786000218,1985.4192741268355,2037.757568359375,267134,0.0,0.0
