Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-03 00:00:00+05:30,1572.9528965000889,1573.7407998058818,1509.776852306145,1514.060791015625,3436776,0.0,0.0
2023-10-04 00:00:00+05:30,1508.545858843956,1514.553230965569,1478.9519985014088,1498.9930419921875,2580901,0.0,0.0
2023-10-05 00:00:00+05:30,1509.7276107586022,1527.2574380180095,1490.0805187054607,1514.6024169921875,1991367,0.0,0.0
2023-10-06 00:00:00+05:30,1521.5455066483535,1530.408878531742,1516.9660737985012,1525.3370361328125,1743027,0.0,0.0
2023-10-09 00:00:00+05:30,1516.621314063754,1517.852337857637,1491.0160191509892,1492.19775390625,2123175,0.0,0.0
2023-10-10 00:00:00+05:30,1498.352850274446,1520.4128203715077,1496.1370074788806,1514.50390625,1956653,0.0,0.0
2023-10-11 00:00:00+05:30,1516.621351440599,1535.480660471103,1516.621351440599,1532.6739501953125,1536986,0.0,0.0
2023-10-12 00:00:00+05:30,1535.3329313541212,1546.2152301731664,1531.9845224700173,1542.8668212890625,1731806,0.0,0.0
2023-10-13 00:00:00+05:30,1536.8101196991468,1550.4991284678724,1526.7650135271667,1538.73046875,1465554,0.0,0.0
2023-10-16 00:00:00+05:30,1539.124395813461,1553.3058138780348,1534.8404570796747,1550.6468505859375,1089610,0.0,0.0
2023-10-17 00:00:00+05:30,1551.0899630188733,1559.8548763771432,1544.7870972209507,1552.6656494140625,997962,0.0,0.0
2023-10-18 00:00:00+05:30,1552.6656940840137,1555.4724043401252,1538.0411551982374,1550.9422607421875,1212994,0.0,0.0
2023-10-19 00:00:00+05:30,1529.768637680068,1554.9308123366302,1529.768637680068,1545.7227783203125,1239578,0.0,0.0
2023-10-20 00:00:00+05:30,1542.2265856880715,1551.0899568701868,1521.643844121726,1534.59423828125,1435102,0.0,0.0
2023-10-23 00:00:00+05:30,1524.7461814957742,1550.9916347249755,1523.0227480595606,1541.3896484375,4069167,0.0,0.0
2023-10-25 00:00:00+05:30,1550.1051783843977,1552.6656838605315,1523.515064142734,1545.279541015625,2510769,0.0,0.0
2023-10-26 00:00:00+05:30,1530.408818921685,1534.5450108859563,1477.228589692746,1483.2359619140625,3343802,0.0,0.0
2023-10-27 00:00:00+05:30,1485.451745293294,1510.6630881706817,1484.4177574522314,1487.8646240234375,3341111,0.0,0.0
2023-10-30 00:00:00+05:30,1479.2966614762959,1492.4439716660613,1440.987176633503,1475.06201171875,2637486,0.0,0.0
2023-10-31 00:00:00+05:30,1471.5165651171974,1474.5696003224757,1433.453405300879,1436.45703125,2555737,0.0,0.0
2023-11-01 00:00:00+05:30,1442.661384030603,1462.4562219816696,1427.9875568171185,1432.5177001953125,2627536,0.0,0.0
2023-11-02 00:00:00+05:30,1442.7599482282985,1455.0701866944103,1430.4497097621868,1447.3885498046875,2091122,0.0,0.0
