,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Sector
ABB,0.4361702127659574,0.006121914189096683,0.5714946478128717,0.8524390243902439,Capital Goods
ADANIENSOL,0.35106382978723405,0.000175740215037918,0.5027903732124172,0.9621212121212122,Power
ADANIENT,0.5744680851063829,0.004366890818280229,0.6093419754825984,0.7582110412299091,Metals & Mining
ADANIGREEN,0.46808510638297873,0.0022988896877134965,0.5714946478128717,0.864693446088795,Power
ADANIPORTS,0.5851063829787234,0.0058842701983485,0.613404255319149,0.7414141414141414,Services
ADANIPOWER,0.4148936170212766,0.0004914034945504261,0.5542809536016406,0.9325236167341431,Power
AMBUJACEM,0.6382978723404256,0.02875795111752059,0.6389627659574468,0.6338983050847458,Construction Materials
APOLLOHOSP,0.031914893617021274,0.0073691883411443285,0.43814589665653497,0.3333333333333333,Healthcare
ASIANPAINT,0.07446808510638298,0.03270635527569653,0.4742816407106822,0.42857142857142855,Consumer Durables
DMART,0.02127659574468085,0.0,0.25002890841813136,1.0,Consumer Services
AXISBANK,0.3723404255319149,0.0007488403568129965,0.5444416467329725,0.8941176470588236,Financial Services
BAJAJ-AUTO,0.031914893617021274,0.0,0.4000462534690102,1.0,Automobile and Auto Components
BAJFINANCE,0.32978723404255317,0.0026000561089091216,0.5318534005657362,0.8559139784946237,Financial Services
BAJAJFINSV,0.3829787234042553,0.0035058002655266006,0.5476823708206687,0.8238095238095238,Financial Services
BAJAJHLDNG,0.02127659574468085,0.0,0.39153463105477593,1.0,Financial Services
BANKBARODA,0.5531914893617021,0.010421973126228829,0.6053331466965285,0.7639517345399698,Financial Services
BEL,0.5957446808510638,0.018404445587910906,0.6302098513552901,0.7058441558441558,Capital Goods
BPCL,0.4574468085106383,0.007700690567629596,0.5786832597350462,0.8183831672203765,Oil Gas & Consumable Fuels
BHARTIARTL,0.3191489361702128,0.0014805217513213166,0.525775075987842,0.8551724137931035,Telecommunication
BOSCHLTD,0.19148936170212766,0.00024252972787589907,0.47673905853819865,0.8627450980392157,Automobile and Auto Components
BRITANNIA,0.07446808510638298,0.02958937451662598,0.34204698251997157,0.42857142857142855,Fast Moving Consumer Goods
CGPOWER,0.07446808510638298,0.0,0.4220671481553777,1.0,Capital Goods
CANBK,0.6063829787234042,0.017340955539640806,0.6259227095093357,0.6873433583959899,Financial Services
